var-posibles_valores,var_alias-posibles_valores_alias
apoyo_vacunas_dosis_1-28,h16041d-28
apoyo_vacunas_dosis_1-29,h16041d-29
apoyo_vacunas_dosis_1-30,h16041d-30
apoyo_vacunas_dosis_1-31,h16041d-31
apoyo_vacunas_dosis_1-No recuerda,h16041d-99
apoyo_asa-Sí,h0601n-1
apoyo_asa-No,h0601n-2
apoyo_asa-No Sabe,h0601n-9
otro_apoyo-Sí,h0601p-1
otro_apoyo-No,h0601p-2
otro_apoyo-No Sabe,h0601p-9
apoyo_seguro_popular-Sí,h0605-1
apoyo_seguro_popular-No,h0605-2
apoyo_seguro_popular-No Sabe,h0605-9
beneficio_1_recibido-Acciones de detección y prevención para toda la familia,h0607a-1
beneficio_1_recibido-Medicina Ambulatoria,h0607a-2
beneficio_1_recibido-Odontología,h0607a-3
beneficio_1_recibido-Salud Reproductiva,h0607a-4
"beneficio_1_recibido-Embarazo, parto y recién nacido",h0607a-5
beneficio_1_recibido-Rehabilitación,h0607a-6
beneficio_1_recibido-Hospitalización,h0607a-7
beneficio_1_recibido-Urgencias,h0607a-8
beneficio_1_recibido-Cirugía,h0607a-9
beneficio_1_recibido-No sabe/No responde,h0607a-99
beneficio_2_recibido-Acciones de detección y prevención para toda la familia,h0607b-1
beneficio_2_recibido-Medicina Ambulatoria,h0607b-2
beneficio_2_recibido-Odontología,h0607b-3
beneficio_2_recibido-Salud Reproductiva,h0607b-4
"beneficio_2_recibido-Embarazo, parto y recién nacido",h0607b-5
beneficio_2_recibido-Rehabilitación,h0607b-6
beneficio_2_recibido-Hospitalización,h0607b-7
beneficio_2_recibido-Urgencias,h0607b-8
beneficio_2_recibido-Cirugía,h0607b-9
beneficio_2_recibido-No sabe/No responde,h0607b-99
beneficio_3_recibido-Acciones de detección y prevención para toda la familia,h0607c-1
beneficio_3_recibido-Medicina Ambulatoria,h0607c-2
beneficio_3_recibido-Odontología,h0607c-3
beneficio_3_recibido-Salud Reproductiva,h0607c-4
"beneficio_3_recibido-Embarazo, parto y recién nacido",h0607c-5
beneficio_3_recibido-Rehabilitación,h0607c-6
beneficio_3_recibido-Hospitalización,h0607c-7
beneficio_3_recibido-Urgencias,h0607c-8
beneficio_3_recibido-Cirugía,h0607c-9
beneficio_3_recibido-No sabe/No responde,h0607c-99
beneficio_4_recibido-Acciones de detección y prevención para toda la familia,h0607d-1
beneficio_4_recibido-Medicina Ambulatoria,h0607d-2
beneficio_4_recibido-Odontología,h0607d-3
beneficio_4_recibido-Salud Reproductiva,h0607d-4
"beneficio_4_recibido-Embarazo, parto y recién nacido",h0607d-5
beneficio_4_recibido-Rehabilitación,h0607d-6
beneficio_4_recibido-Hospitalización,h0607d-7
beneficio_4_recibido-Urgencias,h0607d-8
beneficio_4_recibido-Cirugía,h0607d-9
beneficio_4_recibido-No sabe/No responde,h0607d-99
beneficio_5_recibido-Acciones de detección y prevención para toda la familia,h0607e-1
beneficio_5_recibido-Medicina Ambulatoria,h0607e-2
beneficio_5_recibido-Odontología,h0607e-3
beneficio_5_recibido-Salud Reproductiva,h0607e-4
"beneficio_5_recibido-Embarazo, parto y recién nacido",h0607e-5
beneficio_5_recibido-Rehabilitación,h0607e-6
beneficio_5_recibido-Hospitalización,h0607e-7
beneficio_5_recibido-Urgencias,h0607e-8
beneficio_5_recibido-Cirugía,h0607e-9
beneficio_5_recibido-No sabe/No responde,h0607e-99
deporte_en_covid-Sí,h0903-1
deporte_en_covid-No,h0903-2
deporte_en_covid-NS/NR,h0903-9
cambio_deporte_pandemia-aumentó?,h0904-1
cambio_deporte_pandemia-disminuyó?,h0904-2
cambio_deporte_pandemia-fue igual?,h0904-3
cambio_peso_pandemia-aumentó?,h0906-1
cambio_peso_pandemia-disminuyó?,h0906-2
cambio_peso_pandemia-fue igual?,h0906-3
"realizo_prueba_covid-SÍ tuve(o) la intención, pero no fui (e) y no me (se) la hic",h1201-1
"realizo_prueba_covid-Sí fui (e), pero no me (se) la hice (hicieron)",h1201-2
realizo_prueba_covid-SÍ me hice la prueba,h1201-3
realizo_prueba_covid-No,h1201-4
realizo_prueba_covid-NS/NR,h1201-5
lugar_prueba_covid-Laboratorio o unidad de atención privada,h1203-1
lugar_prueba_covid-Kiosko o unidad de salud pública,h1203-2
lugar_prueba_covid-Prueba-auto-aplicada,h1203-3
lugar_prueba_covid-N/S/NR,h1203-9
"obtuvo_resultado_covid-Sí, positivo",h1204-1
"obtuvo_resultado_covid-Sí, negativo",h1204-2
obtuvo_resultado_covid-No me entregaron el resultado,h1204-3
fue_diagnosticado_covid-Sí,h1205-1
fue_diagnosticado_covid-No,h1205-2
fue_diagnosticado_covid-NS/NR,h1205-9
como_diagnostico-Con prueba,h1206-1
como_diagnostico-Con síntomas,h1206-2
como_diagnostico-Ambas,h1206-3
como_diagnostico-NS/NR,h1206-9
mes_diagnostico-Enero,h1207-1
mes_diagnostico-Febrero,h1207-2
mes_diagnostico-Marzo,h1207-3
mes_diagnostico-Abril,h1207-4
mes_diagnostico-Mayo,h1207-5
mes_diagnostico-Junio,h1207-6
mes_diagnostico-Julio,h1207-7
mes_diagnostico-Agosto,h1207-8
mes_diagnostico-Septiembre,h1207-9
mes_diagnostico-Octubre,h1207-10
mes_diagnostico-Noviembre,h1207-11
mes_diagnostico-Diciembre,h1207-12
mes_diagnostico-NS/NR,h1207-99
covid_busco_atencion-Sí,h1208-1
covid_busco_atencion-No,h1208-2
covid_busco_atencion-NS/NR,h1208-9
covid_lugar_busco_atencion-Instituto Mexicano del Seguro Social (IMSS),h1210-1
covid_lugar_busco_atencion-ISSSTE/ISSSTE Estatal,h1210-2
covid_lugar_busco_atencion-PEMEX,h1210-3
covid_lugar_busco_atencion-Defensa,h1210-4
covid_lugar_busco_atencion-Marina,h1210-5
covid_lugar_busco_atencion-Centro de Salud u Hospital de la SSA,h1210-6
covid_lugar_busco_atencion-IMSS Bienestar (antes Oportunidades),h1210-7
"covid_lugar_busco_atencion-DIF federal, estatal o municipal",h1210-8
covid_lugar_busco_atencion-Cruz Roja/Cruz Verde,h1210-9
covid_lugar_busco_atencion-Instituto Nacional de Salud,h1210-10
covid_lugar_busco_atencion-Organizaciones (ONG/OSC) que dan atención gratuita/Dispensar,h1210-11
covid_lugar_busco_atencion-Consultorios pertenecientes a farmacias/Farmacias con consul,h1210-12
covid_lugar_busco_atencion-Consultorio dentro de hospital privado,h1210-13
covid_lugar_busco_atencion-Área de urgencias/hospitalización dentro de hospital privado,h1210-14
covid_lugar_busco_atencion-Atención privada en torre de consultorios médicos o en una c,h1210-15
covid_lugar_busco_atencion-Consultorio en domicilio particular de médico privado,h1210-16
covid_lugar_busco_atencion-Atención privada en mi domicilio,h1210-17
"covid_lugar_busco_atencion-Atención privada vía remota (teléfono, mensajes de texto, te",h1210-18
covid_lugar_busco_atencion-Médico laboral (médico de la empresa),h1210-19
"covid_lugar_busco_atencion-Curandero, hierbero, naturista",h1210-20
"covid_lugar_busco_atencion-Homeópata, partera, acupunturista",h1210-21
covid_lugar_busco_atencion-Otro (especifique),h1210-22
covid_lugar_busco_atencion-No sabe / No recuerda,h1210-23
covid_fue_atendido-Sí,h1211-1
covid_fue_atendido-No,h1211-2
covid_fue_atendido-NS/NR,h1211-9
secuelas_post_covid_1-Tos,h1213a-A
secuelas_post_covid_1-Fatiga,h1213a-B
secuelas_post_covid_1-Ansiedad,h1213a-C
secuelas_post_covid_1-Depresión,h1213a-D
secuelas_post_covid_1-Fiebre,h1213a-E
secuelas_post_covid_1-Dificultad para dormir,h1213a-F
secuelas_post_covid_1-Complicaciones en el riñón,h1213a-G
secuelas_post_covid_1-Falta de hambre,h1213a-H
secuelas_post_covid_1-Pérdida de peso,h1213a-I
secuelas_post_covid_1-Dolor de cabeza,h1213a-J
secuelas_post_covid_1-Mareo,h1213a-K
secuelas_post_covid_1-Dolores en músculos o articulaciones,h1213a-L
secuelas_post_covid_1-Dificultad para respirar,h1213a-M
secuelas_post_covid_1-Falta de aire,h1213a-N
secuelas_post_covid_1-Dolor en el pecho,h1213a-O
secuelas_post_covid_1-Vómito o diarrea,h1213a-P
secuelas_post_covid_1-Pérdida o disminución del olfato,h1213a-Q
secuelas_post_covid_1-Pérdida o disminución del gusto,h1213a-R
secuelas_post_covid_1-Dificultad para pensar o concentrarse,h1213a-S
secuelas_post_covid_1-Otro (especifique),h1213a-T
secuelas_post_covid_1-No tuve síntomas / secuelas,h1213a-U
secuelas_post_covid_1-NS/NR,h1213a-X
secuelas_post_covid_2-Tos,h1213b-A
secuelas_post_covid_2-Fatiga,h1213b-B
secuelas_post_covid_2-Ansiedad,h1213b-C
secuelas_post_covid_2-Depresión,h1213b-D
secuelas_post_covid_2-Fiebre,h1213b-E
secuelas_post_covid_2-Dificultad para dormir,h1213b-F
secuelas_post_covid_2-Complicaciones en el riñón,h1213b-G
secuelas_post_covid_2-Falta de hambre,h1213b-H
secuelas_post_covid_2-Pérdida de peso,h1213b-I
secuelas_post_covid_2-Dolor de cabeza,h1213b-J
secuelas_post_covid_2-Mareo,h1213b-K
secuelas_post_covid_2-Dolores en músculos o articulaciones,h1213b-L
secuelas_post_covid_2-Dificultad para respirar,h1213b-M
secuelas_post_covid_2-Falta de aire,h1213b-N
secuelas_post_covid_2-Dolor en el pecho,h1213b-O
secuelas_post_covid_2-Vómito o diarrea,h1213b-P
secuelas_post_covid_2-Pérdida o disminución del olfato,h1213b-Q
secuelas_post_covid_2-Pérdida o disminución del gusto,h1213b-R
secuelas_post_covid_2-Dificultad para pensar o concentrarse,h1213b-S
secuelas_post_covid_2-Otro (especifique),h1213b-T
secuelas_post_covid_2-No tuve síntomas / secuelas,h1213b-U
secuelas_post_covid_2-NS/NR,h1213b-X
secuelas_post_covid_3-Tos,h1213c-A
secuelas_post_covid_3-Fatiga,h1213c-B
secuelas_post_covid_3-Ansiedad,h1213c-C
secuelas_post_covid_3-Depresión,h1213c-D
secuelas_post_covid_3-Fiebre,h1213c-E
secuelas_post_covid_3-Dificultad para dormir,h1213c-F
secuelas_post_covid_3-Complicaciones en el riñón,h1213c-G
secuelas_post_covid_3-Falta de hambre,h1213c-H
secuelas_post_covid_3-Pérdida de peso,h1213c-I
secuelas_post_covid_3-Dolor de cabeza,h1213c-J
secuelas_post_covid_3-Mareo,h1213c-K
secuelas_post_covid_3-Dolores en músculos o articulaciones,h1213c-L
secuelas_post_covid_3-Dificultad para respirar,h1213c-M
secuelas_post_covid_3-Falta de aire,h1213c-N
secuelas_post_covid_3-Dolor en el pecho,h1213c-O
secuelas_post_covid_3-Vómito o diarrea,h1213c-P
secuelas_post_covid_3-Pérdida o disminución del olfato,h1213c-Q
secuelas_post_covid_3-Pérdida o disminución del gusto,h1213c-R
secuelas_post_covid_3-Dificultad para pensar o concentrarse,h1213c-S
secuelas_post_covid_3-Otro (especifique),h1213c-T
secuelas_post_covid_3-No tuve síntomas / secuelas,h1213c-U
secuelas_post_covid_3-NS/NR,h1213c-X
secuelas_mantenidas-Sí,h1214-1
secuelas_mantenidas-No,h1214-2
secuelas_mantenidas-NS/NR,h1214-9
tiempo_sintomas_post_covid-Menos de un mes,h1215-1
tiempo_sintomas_post_covid-De uno a tres meses,h1215-2
tiempo_sintomas_post_covid-Tres a seis meses,h1215-3
tiempo_sintomas_post_covid-Más de 6 meses,h1215-4
secuela_limita_banio-Sí,h1216-1
secuela_limita_banio-No,h1216-2
secuela_limita_banio-NS/NR,h1216-9
secuela_limita_salir-Sí,h1217-1
secuela_limita_salir-No,h1217-2
secuela_limita_salir-NS/NR,h1217-9
"elegible_vacuna-Sí, soy (es) personal de salud",h1601-1
"elegible_vacuna-Sí, tengo (tiene) más de 60 años",h1601-2
"elegible_vacuna-Sí, tengo (tiene) entre 50 y 59 años",h1601-3
"elegible_vacuna-Sí, tengo (tiene) entre 40 y 49 años",h1601-4
"elegible_vacuna-Sí, soy (es) maestro/docente",h1601-5
"elegible_vacuna-Sí, estoy (está) o estuve (estuvo) embarazada",h1601-6
elegible_vacuna-Otro (especificar),h1601-7
elegible_vacuna-No soy (es) elegible,h1601-8
elegible_vacuna-No sé,h1601-9
"vacuna_aplicada-Sí, una dosis",h1602-1
"vacuna_aplicada-Sí, dos dosis",h1602-2
"vacuna_aplicada-Sí, dosis única",h1602-3
vacuna_aplicada-No,h1602-4
municipio_aplicacion-En el municipio donde actualmente vivo,h1603-1
municipio_aplicacion-En otro lugar (especificar),h1603-2
mes_vacuna_primera_dosis-Enero,h16041m-1
mes_vacuna_primera_dosis-Febrero,h16041m-2
mes_vacuna_primera_dosis-Marzo,h16041m-3
mes_vacuna_primera_dosis-Abril,h16041m-4
mes_vacuna_primera_dosis-Mayo,h16041m-5
mes_vacuna_primera_dosis-Junio,h16041m-6
mes_vacuna_primera_dosis-Julio,h16041m-7
mes_vacuna_primera_dosis-Agosto,h16041m-8
mes_vacuna_primera_dosis-Septiembre,h16041m-9
mes_vacuna_primera_dosis-Octubre,h16041m-10
mes_vacuna_primera_dosis-Noviembre,h16041m-11
mes_vacuna_primera_dosis-Diciembre,h16041m-12
mes_vacuna_primera_dosis-No recuerda,h16041m-99
anio_vacuna_primera_dosis-2020,h16041a-2020
anio_vacuna_primera_dosis-2021,h16041a-2021
anio_vacuna_primera_dosis-No recuerda,h16041a-9999
dia_vacuna_segunda_dosis-1,h16042d-1
dia_vacuna_segunda_dosis-2,h16042d-2
dia_vacuna_segunda_dosis-3,h16042d-3
dia_vacuna_segunda_dosis-4,h16042d-4
dia_vacuna_segunda_dosis-5,h16042d-5
dia_vacuna_segunda_dosis-6,h16042d-6
dia_vacuna_segunda_dosis-7,h16042d-7
dia_vacuna_segunda_dosis-8,h16042d-8
dia_vacuna_segunda_dosis-9,h16042d-9
dia_vacuna_segunda_dosis-10,h16042d-10
dia_vacuna_segunda_dosis-11,h16042d-11
dia_vacuna_segunda_dosis-12,h16042d-12
dia_vacuna_segunda_dosis-13,h16042d-13
dia_vacuna_segunda_dosis-14,h16042d-14
dia_vacuna_segunda_dosis-15,h16042d-15
dia_vacuna_segunda_dosis-16,h16042d-16
dia_vacuna_segunda_dosis-17,h16042d-17
dia_vacuna_segunda_dosis-18,h16042d-18
dia_vacuna_segunda_dosis-19,h16042d-19
dia_vacuna_segunda_dosis-20,h16042d-20
dia_vacuna_segunda_dosis-21,h16042d-21
dia_vacuna_segunda_dosis-22,h16042d-22
dia_vacuna_segunda_dosis-23,h16042d-23
dia_vacuna_segunda_dosis-24,h16042d-24
dia_vacuna_segunda_dosis-25,h16042d-25
dia_vacuna_segunda_dosis-26,h16042d-26
dia_vacuna_segunda_dosis-27,h16042d-27
dia_vacuna_segunda_dosis-28,h16042d-28
dia_vacuna_segunda_dosis-29,h16042d-29
dia_vacuna_segunda_dosis-30,h16042d-30
dia_vacuna_segunda_dosis-31,h16042d-31
dia_vacuna_segunda_dosis-No recuerda,h16042d-99
mes_vacuna_segunda_dosis-Enero,h16042m-1
mes_vacuna_segunda_dosis-Febrero,h16042m-2
mes_vacuna_segunda_dosis-Marzo,h16042m-3
mes_vacuna_segunda_dosis-Abril,h16042m-4
mes_vacuna_segunda_dosis-Mayo,h16042m-5
mes_vacuna_segunda_dosis-Junio,h16042m-6
mes_vacuna_segunda_dosis-Julio,h16042m-7
mes_vacuna_segunda_dosis-Agosto,h16042m-8
mes_vacuna_segunda_dosis-Septiembre,h16042m-9
mes_vacuna_segunda_dosis-Octubre,h16042m-10
mes_vacuna_segunda_dosis-Noviembre,h16042m-11
mes_vacuna_segunda_dosis-Diciembre,h16042m-12
mes_vacuna_segunda_dosis-No recuerda,h16042m-99
anio_vacuna_segunda_dosis-2020,h16042a-2020
anio_vacuna_segunda_dosis-2021,h16042a-2021
anio_vacuna_segunda_dosis-No recuerda,h16042a-9999
dia_vacuna_unica_dosis-1,h1604ud-1
dia_vacuna_unica_dosis-2,h1604ud-2
dia_vacuna_unica_dosis-3,h1604ud-3
dia_vacuna_unica_dosis-4,h1604ud-4
dia_vacuna_unica_dosis-5,h1604ud-5
dia_vacuna_unica_dosis-6,h1604ud-6
dia_vacuna_unica_dosis-7,h1604ud-7
dia_vacuna_unica_dosis-8,h1604ud-8
dia_vacuna_unica_dosis-9,h1604ud-9
dia_vacuna_unica_dosis-10,h1604ud-10
dia_vacuna_unica_dosis-11,h1604ud-11
dia_vacuna_unica_dosis-12,h1604ud-12
dia_vacuna_unica_dosis-13,h1604ud-13
dia_vacuna_unica_dosis-14,h1604ud-14
dia_vacuna_unica_dosis-15,h1604ud-15
dia_vacuna_unica_dosis-16,h1604ud-16
dia_vacuna_unica_dosis-17,h1604ud-17
dia_vacuna_unica_dosis-18,h1604ud-18
dia_vacuna_unica_dosis-19,h1604ud-19
dia_vacuna_unica_dosis-20,h1604ud-20
dia_vacuna_unica_dosis-21,h1604ud-21
dia_vacuna_unica_dosis-22,h1604ud-22
dia_vacuna_unica_dosis-23,h1604ud-23
dia_vacuna_unica_dosis-24,h1604ud-24
dia_vacuna_unica_dosis-25,h1604ud-25
dia_vacuna_unica_dosis-26,h1604ud-26
dia_vacuna_unica_dosis-27,h1604ud-27
dia_vacuna_unica_dosis-28,h1604ud-28
dia_vacuna_unica_dosis-29,h1604ud-29
dia_vacuna_unica_dosis-30,h1604ud-30
dia_vacuna_unica_dosis-31,h1604ud-31
dia_vacuna_unica_dosis-No recuerda,h1604ud-99
mes_vacuna_unica_dosis-Enero,h1604um-1
mes_vacuna_unica_dosis-Febrero,h1604um-2
mes_vacuna_unica_dosis-Marzo,h1604um-3
mes_vacuna_unica_dosis-Abril,h1604um-4
mes_vacuna_unica_dosis-Mayo,h1604um-5
mes_vacuna_unica_dosis-Junio,h1604um-6
mes_vacuna_unica_dosis-Julio,h1604um-7
mes_vacuna_unica_dosis-Agosto,h1604um-8
mes_vacuna_unica_dosis-Septiembre,h1604um-9
mes_vacuna_unica_dosis-Octubre,h1604um-10
mes_vacuna_unica_dosis-Noviembre,h1604um-11
mes_vacuna_unica_dosis-Diciembre,h1604um-12
mes_vacuna_unica_dosis-No recuerda,h1604um-99
anio_vacuna_unica_dosis-2020,h1604ua-2020
anio_vacuna_unica_dosis-2021,h1604ua-2021
anio_vacuna_unica_dosis-No recuerda,h1604ua-9999
vacuna_puesta-Pfizer,h1605-1
vacuna_puesta-Sputnik,h1605-2
vacuna_puesta-Sinovac,h1605-3
vacuna_puesta-Astra Zeneca,h1605-4
vacuna_puesta-CanSino,h1605-5
vacuna_puesta-Otra (especificar),h1605-6
vacuna_puesta-NS/NR,h1605-9
molestia_1_post_vacuna-Dolor en el brazo,h1606a-1
molestia_1_post_vacuna-Dolor de cabeza,h1606a-2
molestia_1_post_vacuna-Fiebre,h1606a-3
molestia_1_post_vacuna-Cansancio,h1606a-4
molestia_1_post_vacuna-Dolor de cuerpo,h1606a-5
molestia_1_post_vacuna-Otro (especificar),h1606a-6
molestia_1_post_vacuna-No tuve ninguna molestia,h1606a-7
molestia_1_post_vacuna-NS/NR,h1606a-8
molestia_2_post_vacuna-Dolor en el brazo,h1606b-1
molestia_2_post_vacuna-Dolor de cabeza,h1606b-2
molestia_2_post_vacuna-Fiebre,h1606b-3
molestia_2_post_vacuna-Cansancio,h1606b-4
molestia_2_post_vacuna-Dolor de cuerpo,h1606b-5
molestia_2_post_vacuna-Otro (especificar),h1606b-6
molestia_2_post_vacuna-No tuve ninguna molestia,h1606b-7
molestia_2_post_vacuna-NS/NR,h1606b-8
molestia_3_post_vacuna-Dolor en el brazo,h1606c-1
molestia_3_post_vacuna-Dolor de cabeza,h1606c-2
molestia_3_post_vacuna-Fiebre,h1606c-3
molestia_3_post_vacuna-Cansancio,h1606c-4
molestia_3_post_vacuna-Dolor de cuerpo,h1606c-5
molestia_3_post_vacuna-Otro (especificar),h1606c-6
molestia_3_post_vacuna-No tuve ninguna molestia,h1606c-7
molestia_3_post_vacuna-NS/NR,h1606c-8
molestia_4_post_vacuna-Dolor en el brazo,h1606d-1
molestia_4_post_vacuna-Dolor de cabeza,h1606d-2
molestia_4_post_vacuna-Fiebre,h1606d-3
molestia_4_post_vacuna-Cansancio,h1606d-4
molestia_4_post_vacuna-Dolor de cuerpo,h1606d-5
molestia_4_post_vacuna-Otro (especificar),h1606d-6
molestia_4_post_vacuna-No tuve ninguna molestia,h1606d-7
molestia_4_post_vacuna-NS/NR,h1606d-8
molestia_5_post_vacuna-Dolor en el brazo,h1606e1-1
molestia_5_post_vacuna-Dolor de cabeza,h1606e1-2
molestia_5_post_vacuna-Fiebre,h1606e1-3
molestia_5_post_vacuna-Cansancio,h1606e1-4
molestia_5_post_vacuna-Dolor de cuerpo,h1606e1-5
molestia_5_post_vacuna-Otro (especificar),h1606e1-6
molestia_5_post_vacuna-No tuve ninguna molestia,h1606e1-7
molestia_5_post_vacuna-NS/NR,h1606e1-8
motivo_no_vacunacion-No he (ha) sido elegible,h1607-1
motivo_no_vacunacion-Sí me (le) toca/soy (es) elegible pero no ha llegado la vacu,h1607-2
motivo_no_vacunacion-Creo(e) que la vacuna no sirve,h1607-3
motivo_no_vacunacion-Creo(e) que la vacuna tiene efectos adversos/consecuencias n,h1607-4
motivo_no_vacunacion-Me (Le) quedaba muy lejos,h1607-5
motivo_no_vacunacion-La fila era muy larga,h1607-6
"motivo_no_vacunacion-COVID no es un problema, no existe",h1607-7
"motivo_no_vacunacion-Prefiero(e) esperar, ver cómo avanza esto",h1607-8
"motivo_no_vacunacion-No confío(a) en el sistema, en el gobierno",h1607-9
motivo_no_vacunacion-Porque no me(le) dejaron salir en mi(su) trabajo,h1607-10
motivo_no_vacunacion-Porque tengo (tiene) una discapacidad,h1607-11
motivo_no_vacunacion-Porque no tuve(o) quién me(le) acompañara,h1607-12
motivo_no_vacunacion-Otro (especificar),h1607-88
acepta_vacunarse-Sí,h1608-1
acepta_vacunarse-No,h1608-2
acepta_vacunarse-Quizás (indeciso(a)),h1608-3
acepta_vacunarse-No responde,h1608-4
por_que_no_vacunarse-Creo(e) que la vacuna no sirve,h1609-1
por_que_no_vacunarse-Creo(e) que la vacuna tiene efectos adversos/consecuencias n,h1609-2
por_que_no_vacunarse-Me(Le) quedaría muy lejos el lugar donde las aplican,h1609-3
por_que_no_vacunarse-Las filas son muy largas,h1609-4
"por_que_no_vacunarse-COVID no es un problema, no existe",h1609-5
"por_que_no_vacunarse-Prefiero(e) esperar, ver cómo avanza esto",h1609-6
"por_que_no_vacunarse-No confío(a) en el sistema, en el gobierno",h1609-7
por_que_no_vacunarse-Porque no me(le) dejarían salir en mi(su) trabajo,h1609-8
por_que_no_vacunarse-Porque tengo (tiene) una discapacidad,h1609-9
por_que_no_vacunarse-Porque no tengo (tiene) quién me(le) acompañe,h1609-10
por_que_no_vacunarse-Otro (especificar),h1609-88
considera_seguras_vacunas-Sí,h1610-1
considera_seguras_vacunas-No,h1610-2
considera_seguras_vacunas-NS,h1610-3
considera_seguras_vacunas-NR,h1610-9
ropa_puesta-Ligera,an02-1
ropa_puesta-Gruesa,an02-2
ropa_puesta-Sin ropa,an02-3
ropa_puesta-No se pesó,an02-4
resultado_medicion_peso-Sin problema,an03-1
resultado_medicion_peso-Problema físico,an03-2
resultado_medicion_peso-No cooperó,an03-3
resultado_medicion_peso-Se negó,an03-4
resultado_medicion_peso-No se encontró,an03-5
resultado_medicion_peso-No puede mantenerse de pie,an03-6
resultado_medicion_estatura-Sin problema,an05-1
resultado_medicion_estatura-Problema físico,an05-2
resultado_medicion_estatura-No cooperó,an05-3
resultado_medicion_estatura-Se negó,an05-4
resultado_medicion_estatura-No se encontró,an05-5
resultado_medicion_estatura-No puede mantenerse de pie,an05-6
condicion_maternal-Está embarazada?,an06-1
condicion_maternal-Está dando pecho?,an06-2
condicion_maternal-Está embarazada y dando pecho?,an06-3
condicion_maternal-Ninguna de las anteriores,an06-4
condicion_maternal-No sabe,an06-9
meses_embarazo-No sabe,an07-99
resultado_medicion_cintura-Sin problema,an09-1
resultado_medicion_cintura-Problema físico,an09-2
resultado_medicion_cintura-No cooperó,an09-3
perdio_peso-No ha habido pérdida de peso,an10-1
perdio_peso-Pérdida de peso entre 1 y 3 kg,an10-2
perdio_peso-Pérdida de peso mayor a 3 kg,an10-3
perdio_peso-No responde,an10-8
perdio_peso-No sabe,an10-9
"tiene_amputacion-Sí, de extremidades superiores y camina",an11-1
"tiene_amputacion-Sí, de extremidades superiores y no camina",an11-2
"tiene_amputacion-Sí, de extremidades inferiores",an11-3
tiene_amputacion-No y puede mantenerse de pie,an11-4
tiene_amputacion-No y solo puede mantenerse sentado,an11-5
tiene_amputacion-No y está confinado a una cama,an11-6
imc_clase-Bajo peso,imc_clase-0
imc_clase-Peso normal,imc_clase-1
imc_clase-Sobrepeso,imc_clase-2
imc_clase-Obeso,imc_clase-3
bajo_peso-SÍ.,bajo_peso-1
bajo_peso-NO.,bajo_peso-0
peso_normal-SÍ.,peso_normal-1
peso_normal-NO.,peso_normal-0
sobrepeso-SÍ.,sobrepeso-1
sobrepeso-NO.,sobrepeso-0
obesidad-SÍ.,obesidad-1
obesidad-NO.,obesidad-0
resultado_medicion_talon_rodilla-Sin problema,an18-1
resultado_medicion_talon_rodilla-Problema físico,an18-2
resultado_medicion_talon_rodilla-No cooperó,an18-3
reusltado_medicion_circunf_pantorrilla-Sin problema,an20-1
reusltado_medicion_circunf_pantorrilla-Problema físico,an20-2
reusltado_medicion_circunf_pantorrilla-No cooperó,an20-3
resultado_pecho_dedo_medicion-Sin problema,an24-1
resultado_pecho_dedo_medicion-Problema físico,an24-2
resultado_pecho_dedo_medicion-No cooperó,an24-3
resultado_circunferencia_brazo-Sin problema,an26-1
resultado_circunferencia_brazo-Problema físico,an26-2
resultado_circunferencia_brazo-No cooperó,an26-3
brazo_toma_presion-Brazo derecho,an29-1
brazo_toma_presion-Brazo izquierdo,an29-2
brazo_toma_presion-No se tomó,an29-3
resultado_medicion_presion-Sin problema,an30-1
resultado_medicion_presion-Problema físico,an30-2
resultado_medicion_presion-No cooperó,an30-3
resultado_medicion_presion-Se negó,an30-4
salud_tiene_obesidad-SÍ.,a0101-1
salud_tiene_obesidad-NO.,a0101-2
tx_control_azucar_1-SÍ.,a0103-1
tx_control_azucar_1-NO.,a0103-2
como_considera_peso-mayor al saludable?,a0106-1
como_considera_peso-saludable?,a0106-2
como_considera_peso-menor al saludable?,a0106-3
como_considera_peso-No responde.,a0106-8
como_considera_peso-No sabe,a0106-9
cambio_peso_ultimo_anio-Ganó peso.,a0107-1
cambio_peso_ultimo_anio-Perdió peso.,a0107-2
cambio_peso_ultimo_anio-No ha experimentado cambios en su Peso.,a0107-3
cambio_peso_ultimo_anio-Ganó o perdió peso porque está embarazada.,a0107-4
cambio_peso_ultimo_anio-No sabe.,a0107-9
perdion_peso_intensional-SI.,a0109-1
perdion_peso_intensional-NO.,a0109-2
acciones_perder_peso_1-disminuir el tamaño de las porciones?,a0110a-1
acciones_perder_peso_1-aumentar la actividad física?,a0110a-2
acciones_perder_peso_1-seguir las recomendaciones de un profesional de la salud?,a0110a-3
acciones_perder_peso_1-tomar medicamentos para perder peso?,a0110a-4
acciones_perder_peso_1-eliminar el consumo de refrescos?,a0110a-5
acciones_perder_peso_1-aumentar el consumo de vegetales y alimentos ricos en fibra,a0110a-6
acciones_perder_peso_1-realizar algún tipo de ejercicio?,a0110a-7
acciones_perder_peso_1-tomar mucha agua?,a0110a-8
acciones_perder_peso_1-Otra forma (especifica).,a0110a-9
acciones_perder_peso_2-disminuir el tamaño de las porciones?,a0110b-1
acciones_perder_peso_2-aumentar la actividad física?,a0110b-2
acciones_perder_peso_2-seguir las recomendaciones de un profesional de la salud?,a0110b-3
acciones_perder_peso_2-tomar medicamentos para perder peso?,a0110b-4
